Strain,Compound,Concentration (mM),# deaths,# censored,Total worms,Mean,Std error,KM median,Lower 95% CI,Upper 95% CI,25% Failures,75% Failures,90% Failures,Maximum
AF16,CTRL-H2O,0,742,444,1186,25.794334631667,0.203661814729638,26,25,26,21,30,33,45
AF16,METFORMIN,100,230,149,379,25.703817344426,0.396811410676675,25,25,28,21,30,35,38
AF16,METFORMIN,1000,225,154,379,26.163268908281,0.408943990213638,25,25,28,21,31,35,42
AF16,METFORMIN,5000,229,153,382,25.345628784815,0.431646260613873,25,25,28,21,30,33,47
AF16,METFORMIN,10000,237,135,372,24.421354602159,0.376089805813393,24,23,25,19,28,32,42
AF16,METFORMIN,50000,628,199,827,25.840939057702,0.297026989366991,25,24,26,21,31,38,52
ED3092,CTRL-H2O,0,668,374,1042,27.876460079983,0.246712110482953,28,26,28,24,32,35,54
ED3092,METFORMIN,100,252,143,395,29.400481731219,0.416395691034955,30,28,30,25,35,39,47
ED3092,METFORMIN,1000,251,84,335,28.931157985982,0.39962898919243,30,28,30,23,33,37,47
ED3092,METFORMIN,5000,254,142,396,29.394624218636,0.424295297319497,30,28,30,24,35,38,52
ED3092,METFORMIN,10000,225,106,331,28.209647040488,0.378971566689524,28,,,23,32,37,42
ED3092,METFORMIN,50000,484,216,700,27.021410596911,0.302353494176778,26,,,21,31,38,49
HK104,CTRL-H2O,0,729,296,1025,35.841758735044,0.31182607111303,36,35,37,31,42,47,59
HK104,METFORMIN,100,272,94,366,37.869992145367,0.542174779124505,39,39,42,33,44,49,59
HK104,METFORMIN,1000,253,66,319,37.592987977935,0.570741148012779,39,39,42,33,44,47,59
HK104,METFORMIN,5000,217,102,319,38.708855508615,0.622155897054958,39,39,42,35,44,52,61
HK104,METFORMIN,10000,286,74,360,38.176111045874,0.543725641409451,39,38,42,33,44,49,59
HK104,METFORMIN,50000,539,165,704,35.738652503934,0.403254330432278,35,35,38,30,42,49,56
JU1373,CTRL-H2O,0,969,206,1175,24.194975566207,0.143059244794761,25,,,21,28,29,35
JU1373,METFORMIN,100,325,51,376,24.170462846886,0.253260382216714,24,24,25,21,28,30,33
JU1373,METFORMIN,1000,321,44,365,24.32456649237,0.268107940677848,25,24,26,22,28,31,35
JU1373,METFORMIN,5000,333,45,378,23.265540564645,0.257716718936089,24,23,24,21,26,30,33
JU1373,METFORMIN,10000,338,37,375,21.797827332773,0.250155490902461,22,22,23,18,26,28,38
JU1373,METFORMIN,50000,694,130,824,20.709225671819,0.186103485761575,21,,,17,25,26,32
JU1630,CTRL-H2O,0,836,187,1023,25.571130123629,0.172872843160269,26,25,26,22,29,31,42
JU1630,METFORMIN,100,297,42,339,27.34890310022,0.296589524675589,28,26,28,24,31,33,42
JU1630,METFORMIN,1000,266,66,332,26.606613946051,0.336096677568455,26,,,22,31,33,40
JU1630,METFORMIN,5000,271,54,325,25.137817361343,0.320723646586245,24,24,26,22,28,33,38
JU1630,METFORMIN,10000,297,37,334,24.514617668711,0.239065998415363,24,,,22,26,31,40
JU1630,METFORMIN,50000,653,52,705,21.288305854201,0.157683821020592,21,,,19,24,26,38
JU775,CTRL-H2O,0,1169,238,1407,21.955096455991,0.233598948810856,21,,,15,27,33,56
JU775,METFORMIN,50000,1003,135,1138,23.920545515476,0.235605945704835,24,,,19,28,33,49
JU775,METFORMIN,70000,1245,195,1440,24.926822847008,0.212358253951863,24,24,25,19,28,35,56
MY16,CTRL-H2O,0,1171,176,1347,18.349960229418,0.139827707229228,17,17,18,14,23,25,33
MY16,METFORMIN,50000,827,273,1100,21.256095164793,0.190143789309217,21,21,23,17,25,28,33
MY16,METFORMIN,70000,1035,174,1209,22.045112278249,0.167821462674538,23,21,24,19,26,28,45
N2-PD1073,CTRL-H2O,0,1262,196,1458,17.968648744844,0.122398340422906,17,17,18,14,21,24,31
N2-PD1073,METFORMIN,50000,1226,162,1388,21.815250012979,0.161773140619558,23,23,24,17,26,28,40
N2-PD1073,METFORMIN,70000,1202,151,1353,23.419351381964,0.168967898203273,24,,,19,28,31,38
QG834,CTRL-H2O,0,688,153,841,23.798491104072,0.172824989599703,25,24,25,21,28,29,35
QG834,METFORMIN,100,246,28,274,24.804862187936,0.28151179834676,25,24,26,22,28,30,35
QG834,METFORMIN,1000,227,36,263,24.685375150374,0.307240627056474,25,24,26,22,28,30,35
QG834,METFORMIN,5000,233,44,277,23.488504431261,0.32578429800479,24,23,24,21,28,30,35
QG834,METFORMIN,10000,238,30,268,23.242479422914,0.301993153599359,24,23,24,21,26,29,38
QG834,METFORMIN,50000,492,105,597,21.352150272378,0.208118154713329,21,21,22,18,25,28,32
Total,,,24585,6143,30728,,,,,,,,,